college_name,url,college_city,enrollment,tuition
Point Loma Nazarene University,https://www.free-4u.com/Colleges/Point-Loma-Nazarene-University.html,San Diego,"4,015","$45,911.00"
Pomona College,https://www.free-4u.com/Colleges/Pomona-College.html,Claremont,"1,664","$62,632.00"
Providence Christian College,https://www.free-4u.com/Colleges/Providence-Christian-College.html,Pasadena,103,"$40,276.00"
Rudolf Steiner College,https://www.free-4u.com/Colleges/Rudolf-Steiner-College.html,Fair Oaks,196,
SUM Bible College and Theological Seminary,https://www.free-4u.com/Colleges/SUM-Bible-College-and-Theological-Seminary.html,Oakland,635,"$21,962.00"
Saint Mary's College of California,https://www.free-4u.com/Colleges/Saint-Mary's-College-of-California.html,Moraga,"4,738","$59,327.00"
Samuel Merritt University,https://www.free-4u.com/Colleges/Samuel-Merritt-University.html,Oakland,"2,023","$55,748.00"
San Diego Christian College,https://www.free-4u.com/Colleges/San-Diego-Christian-College.html,Santee,"1,209","$42,095.00"
San Diego State University,https://www.free-4u.com/Colleges/San-Diego-State-University.html,San Diego,"35,802","$26,158.00"
San Diego State University Imperial Valley Campus,https://www.free-4u.com/Colleges/San-Diego-State-University-Imperial-Valley-Campus.html,,,
San Francisco Art Institute,https://www.free-4u.com/Colleges/San-Francisco-Art-Institute.html,San Francisco,801,"$61,698.00"
San Francisco Conservatory of Music,https://www.free-4u.com/Colleges/San-Francisco-Conservatory-of-Music.html,San Francisco,406,"$57,242.00"
San Francisco State University,https://www.free-4u.com/Colleges/San-Francisco-State-University.html,San Francisco,"32,146","$24,206.00"
San Francisco Theological Seminary,https://www.free-4u.com/Colleges/San-Francisco-Theological-Seminary.html,San Anselmo,192,
San Joaquin College of Law,https://www.free-4u.com/Colleges/San-Joaquin-College-of-Law.html,Clovis,177,
San Jose State University,https://www.free-4u.com/Colleges/San-Jose-State-University.html,San Jose,"34,446","$25,253.00"
Sanford Burnham Medical Research Institute,https://www.free-4u.com/Colleges/Sanford-Burnham-Medical-Research-Institute.html,La Jolla,33,
Santa Barbara Business College Bakersfield,https://www.free-4u.com/Colleges/Santa-Barbara-Business-College-Bakersfield.html,Bakersfield,939,"$14,642.00"
Santa Barbara Business College Santa Maria,https://www.free-4u.com/Colleges/Santa-Barbara-Business-College-Santa-Maria.html,Santa Maria,320,"$15,226.00"
Santa Barbara Business College Ventura,https://www.free-4u.com/Colleges/Santa-Barbara-Business-College-Ventura.html,Ventura,621,"$13,663.00"
Santa Clara University,https://www.free-4u.com/Colleges/Santa-Clara-University.html,Santa Clara,"10,137","$61,638.00"
Saybrook University,https://www.free-4u.com/Colleges/Saybrook-University.html,Oakland,645,
Scripps College,https://www.free-4u.com/Colleges/Scripps-College.html,Claremont,"1,055","$63,740.00"
Shasta Bible College and Graduate School,https://www.free-4u.com/Colleges/Shasta-Bible-College-and-Graduate-School.html,Redding,66,"$27,100.00"
Simpson University,https://www.free-4u.com/Colleges/Simpson-University.html,Redding,"1,505","$36,754.00"
Sofia University,https://www.free-4u.com/Colleges/Sofia-University.html,Palo Alto,426,$575.00
Soka University of America,https://www.free-4u.com/Colleges/Soka-University-of-America.html,Aliso Viejo,423,"$44,550.00"
Sonoma State University,https://www.free-4u.com/Colleges/Sonoma-State-University.html,Rohnert Park,"9,614","$23,655.00"
South Baylo University,https://www.free-4u.com/Colleges/South-Baylo-University.html,Anaheim,901,"$7,950.00"
Southern California Institute of Architecture,https://www.free-4u.com/Colleges/Southern-California-Institute-of-Architecture.html,Los Angeles,529,"$55,042.00"
Southern California Institute of Technology,https://www.free-4u.com/Colleges/Southern-California-Institute-of-Technology.html,Anaheim,808,"$19,330.00"
Southern California Seminary,https://www.free-4u.com/Colleges/Southern-California-Seminary.html,El Cajon,332,"$29,923.00"
Southern California University SOMA,https://www.free-4u.com/Colleges/Southern-California-University-SOMA.html,Los Angeles,137,"$9,220.00"
Southern California University of Health Sciences,https://www.free-4u.com/Colleges/Southern-California-University-of-Health-Sciences.html,Whittier,"1,652",
